time stock-price decision number-of-stocks portfolio-value
640 193.17 -1 0 30149.5
641 193.11 -1 0 30149.5
642 193.45 1 50 30149.5
643 193.49 5 100 30151.5
644 193.57 5 150 30159.5
645 193.6 5 150 30164.0
646 193.79 5 150 30192.5
647 193.86 5 150 30203.000000000004
648 193.97 5 150 30219.5
649 193.91 3 150 30210.5
650 193.68 1 150 30176.0
651 193.67 -3 100 30174.5
652 193.72 -1 50 30179.5
653 193.64 -1 0 30175.5
654 193.76 -3 0 30175.5
655 193.55 3 50 30175.5
656 193.58 -3 0 30177.0
657 193.45 -5 0 30177.0
658 193.64 -3 0 30177.0
659 193.46 1 50 30177.0
660 193.605 -1 0 30184.25
661 193.7 1 50 30184.25
662 193.745 5 100 30186.5
663 193.74 3 150 30186.0
664 193.75 3 150 30187.5
665 193.72 1 150 30183.0
666 193.83 -1 100 30199.5
667 193.68 3 150 30184.5
668 193.81 -3 100 30204.0
669 193.87 -1 50 30210.0
670 193.96 3 100 30214.5
671 194.02 5 150 30220.5
672 194.13 5 150 30237.0
673 194.05 3 150 30225.0
674 194.25 5 150 30255.0
675 194.16 3 150 30241.5
676 194.15 1 150 30240.0
677 194.15 -1 100 30240.0
678 194.16 1 150 30241.0
679 194.27 1 150 30257.5
680 194.23 3 150 30251.5
681 194.1 1 150 30232.0
682 194.12 -1 100 30235.0
683 194.22 -1 50 30245.0
684 194.22 1 100 30245.0
685 194.29 3 150 30252.0
686 194.09 1 150 30222.0
687 194.09 -1 100 30222.0
688 194.18 -1 50 30231.0
689 194.23 1 100 30233.5
690 194.4 3 150 30250.5
691 194.52 5 150 30268.5
692 194.68 5 150 30292.5
693 194.79 5 150 30309.0
694 194.51 1 150 30267.0
695 194.49 -1 100 30264.0
696 194.4 -3 50 30255.0
697 194.37 -5 0 30253.5
698 194.37 -5 0 30253.5
699 194.47 -1 0 30253.5
700 194.55 3 50 30253.5
701 194.59 5 100 30255.5
702 194.72 5 150 30268.5
703 194.75 5 150 30273.0
704 194.93 5 150 30300.0
705 194.85 3 150 30288.0
706 194.9 3 150 30295.5
707 194.945 3 150 30302.25
708 194.97 5 150 30306.0
709 194.96 3 150 30304.5
710 194.98 3 150 30307.5
711 194.98 5 150 30307.5
712 195.1 1 150 30325.5
713 195.19 3 150 30339.0
714 195.18 3 150 30337.5
715 195.29 5 150 30354.0
716 195.24 3 150 30346.5
717 195.15 1 150 30333.0
718 195.12 -3 100 30328.5
719 195.13 -3 50 30329.5
720 195.02 -5 0 30324.0
721 194.9 -5 0 30324.0
722 194.97 -3 0 30324.0
723 195.26 -1 0 30324.0
724 195.18 3 50 30324.0
725 195.2 3 100 30325.0
726 195.2 1 150 30325.0
727 195.23 3 150 30329.5
728 195.08 1 150 30307.000000000004
729 194.97 -3 100 30290.5
730 194.895 -5 50 30283.0
731 194.9 -3 0 30283.25
732 194.82 -5 0 30283.25
733 194.84 -3 0 30283.25
734 194.8 -5 0 30283.25
735 194.83 -3 0 30283.25
736 194.86 -1 0 30283.25
737 194.69 1 50 30283.25
738 194.68 -5 0 30282.75
739 194.73 -1 0 30282.75
740 194.69 -1 0 30282.75
741 194.44 1 50 30282.75
742 194.46 -3 0 30283.75
743 194.43 -3 0 30283.75
744 194.245 -5 0 30283.75
745 194.24 -5 0 30283.75
746 194.27 -1 0 30283.75
747 194.31 1 50 30283.75
748 194.375 3 100 30287.0
749 194.3 3 150 30279.5
750 194.32 1 150 30282.5
751 194.22 -1 100 30267.5
752 194.23 -3 50 30268.5
753 193.94 -1 0 30254.0
754 194 -3 0 30254.0
755 193.97 -3 0 30254.0
756 193.83 -3 0 30254.0
757 193.8 -5 0 30254.0
758 193.94 -1 0 30254.0
759 194.05 1 50 30254.0
760 194.07 5 100 30255.0
761 194.16 5 150 30264.0
762 194.05 3 150 30247.5
763 193.99 -1 100 30238.5
764 193.82 -3 50 30221.5
765 193.75 -5 0 30218.0
766 193.92 -1 0 30218.0
767 193.84 -1 0 30218.0
768 193.8 -1 0 30218.0
769 193.94 -1 0 30218.0
770 193.85 3 50 30218.0
771 193.72 1 100 30211.5
772 193.7 -3 50 30209.5
773 193.82 -1 0 30215.5
774 193.88 1 50 30215.5
775 193.81 3 100 30212.0
776 193.53 -1 50 30184.0
777 193.71 -3 0 30193.0
778 193.62 -3 0 30193.0
779 193.615 -3 0 30193.0
780 193.64 1 50 30193.0
781 193.79 1 100 30200.5
782 193.87 3 150 30208.5
783 194.01 5 150 30229.5
784 193.95 3 150 30220.5
785 193.88 1 150 30210.0
786 193.87 -1 100 30208.5
787 193.84 -5 50 30205.5
788 193.83 -5 0 30205.0
