time-hour stock-price avg-price-3-min avg-price-5-min average-volume current-volume number-of-stocks portfolio-value 
615 196.08 196.1375 196.198 1100.3333333333333 1489 0 30032.875
616 196.14 196.125 196.18400000000003 1147.0 843 0 30032.875
617 196 196.055 196.122 1151.6666666666667 1123 0 30032.875
618 196 196.035 196.072 1544.6666666666667 2668 0 30032.875
619 195.84 195.92000000000002 196.01200000000003 2451.6666666666665 3564 0 30032.875
620 195.94 195.93 195.98399999999998 2774.6666666666665 2092 0 30032.875
621 195.92 195.90499999999997 195.94000000000003 2457.6666666666665 1717 0 30032.875
622 195.9 195.91500000000002 195.92000000000002 1637.0 1102 0 30032.875
623 195.87 195.89 195.89400000000003 1454.3333333333333 1544 0 30032.875
624 195.92 195.90249999999997 195.91 1432.3333333333333 1651 25 30032.875
625 195.61 195.7525 195.84400000000002 1460.6666666666667 1187 25 30025.125
626 195.69 195.7275 195.79800000000003 1257.3333333333333 934 0 30027.125
627 195.76 195.70499999999998 195.77000000000004 1502.0 2385 0 30027.125
628 195.69 195.70749999999998 195.734 1415.6666666666667 928 0 30027.125
629 195.66 195.6925 195.68200000000002 1327.6666666666667 670 0 30027.125
630 195.69 195.6825 195.698 1399.3333333333333 2600 0 30027.125
631 195.63 195.6525 195.686 1613.0 1569 0 30027.125
632 195.68 195.67000000000002 195.67000000000002 1853.0 1390 0 30027.125
633 195.62 195.6375 195.656 3579.3333333333335 7779 0 30027.125
634 195.69 195.67000000000002 195.662 3328.3333333333335 816 0 30027.125
635 195.89 195.77249999999998 195.702 4450.333333333333 4756 25 30027.125
636 196.03 195.91 195.78200000000004 2487.3333333333335 1890 25 30030.625
637 196 195.98 195.846 2711.0 1487 25 30029.875
638 195.99 196.0025 195.92000000000002 1618.0 1477 25 30029.625
639 196.06 196.0275 195.99400000000003 2068.6666666666665 3242 25 30031.375
640 195.96 195.9925 196.00800000000004 2287.6666666666665 2144 25 30028.875
641 195.78 195.89499999999998 195.95800000000003 2531.3333333333335 2208 0 30024.375
642 195.88 195.875 195.93400000000003 1856.3333333333333 1217 0 30024.375
643 195.9 195.865 195.91600000000003 1477.3333333333333 1007 0 30024.375
644 196.04 195.96499999999997 195.912 965.6666666666666 673 0 30024.375
645 196.05 196.01 195.93000000000004 723.3333333333334 490 0 30024.375
646 196.08 196.0625 195.99 673.6666666666666 858 25 30024.375
647 195.95 196.0075 196.00400000000002 781.3333333333334 996 25 30021.125
648 195.8 195.9075 195.984 893.0 825 25 30017.375
649 195.785 195.82999999999998 195.93300000000002 1072.6666666666667 1397 0 30017.0
650 195.86 195.82625000000002 195.895 1418.6666666666667 2034 0 30017.0
651 195.69 195.75625 195.817 1496.6666666666667 1059 0 30017.0
652 195.78 195.7775 195.78300000000002 1634.3333333333333 1810 0 30017.0
653 195.88 195.8075 195.79900000000004 1487.3333333333333 1593 0 30017.0
654 195.85 195.83999999999997 195.812 1418.0 851 0 30017.0
655 195.85 195.83999999999997 195.812 1418.0 851 0 30017.0
656 195.83 195.84750000000003 195.806 1060.0 736 0 30017.0
657 195.81 195.825 195.83 602.3333333333334 220 0 30017.0
658 195.7 195.76 195.81400000000002 719.0 1201 0 30017.0
659 195.7 195.7275 195.77800000000002 540.3333333333334 200 0 30017.0
660 195.9 195.8 195.788 782.0 945 0 30017.0
661 195.81 195.805 195.78400000000002 947.6666666666666 1698 0 30017.0
662 195.91 195.8825 195.80400000000003 1273.6666666666667 1178 0 30017.0
663 195.75 195.805 195.81400000000002 1504.3333333333333 1637 0 30017.0
664 195.805 195.8175 195.83500000000004 1147.3333333333333 627 0 30017.0
